temperature	 b2xc	 b2xcerr	 b2B	 b2Berr	 b2tot	 b2toterr
175.00	    9.304423168803984	    0.069237637200027	    9.309607323528867	    0.070826792645422	    9.309216500000000	    0.065591271000000
198.15	   11.012866242021593	    0.065756415888550	   10.959122120889354	    0.063890509779925	   10.960118000000000	    0.062718895000000
200.00	   10.988552655420923	    0.064786253320614	   11.132632541680383	    0.061651059679989	   11.127622000000001	    0.059528168000000
223.15	   12.310233622395838	    0.060889626568478	   12.106989442808072	    0.064781218796696	   12.108382000000001	    0.064338527000000
225.00	   12.212650437982733	    0.059248000400264	   12.335407170085952	    0.062972751280255	   12.333999000000000	    0.062252114000000
248.15	    0.000000000000000	    0.000000000000000	   13.246205936720161	    0.059108529906503	   13.246206000000001	    0.059108530000000
250.00	    0.000000000000000	    0.000000000000000	   13.196311223782258	    0.057289095856634	   13.196311000000000	    0.057289096000000
273.15	    0.000000000000000	    0.000000000000000	   13.776887404735369	    0.054516079747941	   13.776887000000000	    0.054516080000000
273.16	    0.000000000000000	    0.000000000000000	   13.901170942436853	    0.055947791906470	   13.901171000000000	    0.055947792000000
298.15	    0.000000000000000	    0.000000000000000	   14.392938639640686	    0.051255439741411	   14.392939000000000	    0.051255440000000
300.00	    0.000000000000000	    0.000000000000000	   14.447110475759217	    0.056005048752700	   14.447110000000000	    0.056005049000000
323.15	    0.000000000000000	    0.000000000000000	   14.828401222713278	    0.051854262930570	   14.828400999999999	    0.051854263000000
348.15	    0.000000000000000	    0.000000000000000	   15.196929198188617	    0.050921328760716	   15.196929000000001	    0.050921329000000
350.00	    0.000000000000000	    0.000000000000000	   15.186390147400648	    0.048615532894456	   15.186389999999999	    0.048615533000000
373.15	    0.000000000000000	    0.000000000000000	   15.568913625239459	    0.046640345257109	   15.568913999999999	    0.046640345000000
398.15	    0.000000000000000	    0.000000000000000	   15.634349866973528	    0.045595040227847	   15.634350000000000	    0.045595040000000
400.00	    0.000000000000000	    0.000000000000000	   15.663750279964194	    0.046466465115278	   15.663750000000000	    0.046466465000000
423.15	    0.000000000000000	    0.000000000000000	   15.898801865780460	    0.045735788956092	   15.898802000000000	    0.045735789000000
450.00	    0.000000000000000	    0.000000000000000	   15.942221097171133	    0.045198163929781	   15.942221000000000	    0.045198164000000
500.00	    0.000000000000000	    0.000000000000000	   16.215532903734417	    0.042952526730710	   16.215533000000001	    0.042952527000000
550.00	    0.000000000000000	    0.000000000000000	   16.279012689656312	    0.041457763278116	   16.279012999999999	    0.041457763000000
600.00	    0.000000000000000	    0.000000000000000	   16.328086177498381	    0.038051643851445	   16.328085999999999	    0.038051644000000
700.00	    0.000000000000000	    0.000000000000000	   16.321204509105350	    0.035447471041906	   16.321204999999999	    0.035447471000000
800.00	    0.000000000000000	    0.000000000000000	   16.342025007291248	    0.034615883888501	   16.342025000000000	    0.034615884000000
900.00	    0.000000000000000	    0.000000000000000	   16.060597850393872	    0.032828531303071	   16.060597999999999	    0.032828531000000
1000.00	    0.000000000000000	    0.000000000000000	   15.857966402588769	    0.030814926990498	   15.857965999999999	    0.030814927000000
1200.00	    0.000000000000000	    0.000000000000000	   15.556256703819074	    0.029524831837535	   15.556257000000000	    0.029524832000000
1500.00	    0.000000000000000	    0.000000000000000	   14.951512911170481	    0.027514670219742	   14.951513000000000	    0.027514670000000
2000.00	    0.000000000000000	    0.000000000000000	   14.124256576800786	    0.025272801978780	   14.124257000000000	    0.025272802000000
